ID,Title,Link,Published Date,Summary,Category
46,Why isn't the House Judiciary Committee looking into Thomas?,https://www.cnn.com/2023/04/17/opinions/jim-jordan-clarence-thomas-judiciary-committee-obeidallah/index.html,2023-04-17 11:37:37,"On Monday, the GOP-controlled House Judiciary Committee — chaired by Donald Trump ally Rep. Jim Jordan — is set to hold a field hearing in New York City called ""Victims of Violent Crime in Manhattan."" A statement bills the hearing as an examination of how, the Judiciary Committee says, Manhattan District Attorney Alvin Bragg's policies have ""led to an increase in violent crime and a dangerous community for New York City residents.""",Others
47,Top secrets come spilling out,https://www.cnn.com/2023/04/16/opinions/top-secrets-come-spilling-out-opinion-column-galant/index.html,2023-04-16 11:22:36,"In 1917, British analysts deciphered a coded message the German foreign minister sent to one of his country's diplomats vowing to begin ""unrestricted submarine warfare"" and seeking to win over Mexico with a promise to ""reconquer the lost territory in Texas, New Mexico and Arizona"" if the US entered the world war. When it became public, the Zimmerman Telegram caused a sensation, helping propel the US into the conflict against Germany.",Others
48,How did Sudan go from casting off despotic rule to this?,https://www.cnn.com/2023/04/17/opinions/sudan-revolution-to-civil-war-lynch/index.html,2023-04-17 22:45:23,"Four years ago, almost to the day, the people of Sudan were celebrating a revolution after overthrowing longtime dictator Omar al-Bashir. Now the East African country faces the possibility of a complete collapse similar to the chaos we see today in Yemen or Libya.",Others
49,Michelle Yeoh set to return in new 'Star Trek' movie,https://www.cnn.com/2023/04/18/entertainment/michelle-yeoh-star-trek-section-31/index.html,2023-04-18 19:11:23,"Live long and prosper, Michelle Yeoh.",Others
50,Recap: 'Succession' finds dark humor in the aftershocks,https://www.cnn.com/2023/04/16/entertainment/succession-season-4-episode-4-recap/index.html,2023-04-17 02:28:12,"After the shock came the aftershocks, the power vacuum, and perhaps most significantly and impressively, the laughs, as ""Succession"" pivoted to face life after Logan Roy, in an episode that finally put the HBO show's title into full flower.",Others
51,"'Yellowjackets' leans hard into '90s music nostalgia, and we're here for it",https://www.cnn.com/2023/04/14/entertainment/yellowjackets-90s-music/index.html,2023-05-01 23:02:04,"Of the many dark gifts Showtime's eerie hit series ""Yellowjackets"" serves up for us, the juiciest this season is by far the music.",Others
52,Jeremy Renner revisits 'the amazing group of people' who helped him recover from his accident,https://www.cnn.com/2023/04/16/entertainment/jeremy-renner-update/index.html,2023-04-16 19:04:10,"Jeremy Renner is continuing his recovery after his devastating snowplow accident in January, and recognizing those who've helped him along the way.",Others
53,Review: 'Barry' takes a whack at its farewell season,https://www.cnn.com/2023/04/14/entertainment/barry-season-4-review/index.html,2023-04-14 12:33:08,"""Barry"" has taken chances from the very beginning, which is certainly true of a fourth and final season that picks up where the third left off, with its hitman-turned-wannabe actor getting arrested. That paves the way for an even darker season that accentuates the show's ensemble aspect while leaning a little too heavily on blurring lines with flights of fancy.",Others
54,GM touts EV progress but reminds investors that gas-powered cars will be 'significant' to its future,https://qz.com/gm-gas-powered-cars-investment-future-ev-progress-1851668873,2024-10-09 16:27:42,"<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/766281d32c97ca4d56f44d0ec0c5e835.jpg"" /><p>At General Motors (<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/quote/GM"" rel=""noopener noreferrer"" target=""_blank"">GM</a>)’ investor day, the Detroit automaker made sure to tout its progress and enthusiasm for electric vehicles. But the company also made sure to remind investors that gasoline-powered cars are still a necessary part of its business.<br /></p><p><a href=""https://qz.com/gm-gas-powered-cars-investment-future-ev-progress-1851668873"">Read more...</a></p>",Others
55,3 women got kicked off a Spirit Airlines flight — for wearing crop tops,https://qz.com/women-kicked-off-spirit-airlines-flight-crop-tops-1851668855,2024-10-09 15:50:00,"<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/4d4a02763c47029367730f2ebb561d1b.jpg"" /><p>Three women said they were kicked off a <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/spirit-airlines-checked-bags-carry-ons-seating-change-1851609003"" rel=""noopener noreferrer"" target=""_blank"">Spirit Airlines</a> flight for wearing crop tops.</p><p><a href=""https://qz.com/women-kicked-off-spirit-airlines-flight-crop-tops-1851668855"">Read more...</a></p>",Others
